"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.37828802691245e-78,3.66750170373042,0.44,0.036,1.35150999828283e-73,"0","Kcnh4"
1.24190280652893e-77,3.04876495486516,0.68,0.093,3.12077756252656e-73,"0","Srcin1"
3.06431277613156e-77,2.79921416900386,0.88,0.176,7.700311575141e-73,"0","Sgpl1"
4.15772759490599e-77,3.30036590241855,0.45,0.038,1.04479536732393e-72,"0","Stmnd1"
6.12115326506741e-77,2.84014405800598,0.71,0.101,1.53818460397879e-72,"0","Mapk8ip1"
7.83743749882941e-77,3.21990869701477,0.52,0.051,1.96946966908084e-72,"0","Mslnl"
7.90291116477348e-77,3.24758648159372,0.78,0.133,1.98592254659593e-72,"0","Epha5"
1.08042330590564e-76,4.06852525102526,0.38,0.026,2.71499572541028e-72,"0","Atp8b3"
1.60287623264941e-76,3.54864220304723,0.48,0.045,4.0278676850247e-72,"0","Gm13589"
1.82093913018163e-76,2.97249034932102,0.74,0.114,4.57583794023343e-72,"0","Abca5"
2.36688266920572e-76,2.74866804166835,0.81,0.138,5.94773945944706e-72,"0","Pkib"
3.60784778681044e-76,3.2960199019028,0.5,0.048,9.06616070347596e-72,"0","Tmprss6"
3.6276906448877e-76,2.73703898714636,0.9,0.189,9.11602382153831e-72,"0","Abhd16a"
5.1994082038065e-76,3.20237606171121,0.54,0.057,1.30655928753453e-71,"0","Prune2"
6.27193537656686e-76,3.51800739863666,0.48,0.045,1.57607464077749e-71,"0","Sgip1"
6.65611436988381e-76,3.72061357312942,0.46,0.041,1.6726149800081e-71,"0","Kcnh3"
1.31433757912088e-75,2.90935580281272,0.62,0.077,3.30279890257285e-71,"0","Fam171b"
2.04559419459414e-75,3.17304402424931,0.56,0.062,5.14037365159561e-71,"0","B230369F24Rik"
3.10939418841841e-75,3.2842543885073,1,0.327,7.81359665607662e-71,"0","Gng13"
3.35188993202219e-75,3.16334473642841,0.57,0.066,8.42296421017855e-71,"0","Eml5"
3.40637466686225e-75,3.3336470071346,0.49,0.047,8.55987890035814e-71,"0","Rgs6"
1.09003451298317e-74,3.14772532013696,0.53,0.056,2.7391477276754e-70,"0","Mmp16"
1.17662845099246e-74,2.78218705650396,0.86,0.166,2.95674963449895e-70,"0","Faim"
1.2678217111495e-74,1.98271053103173,0.76,0.115,3.18590917794758e-70,"0","Arhgdig"
1.79243012540866e-74,2.88263964620452,0.75,0.122,4.50419766213943e-70,"0","Rp2"
2.10725035129859e-74,2.7696271997813,0.72,0.106,5.29530940777822e-70,"0","Stx2"
4.22582213802696e-74,3.34293126113234,0.49,0.048,1.06190684506479e-69,"0","Apba2"
4.93051140452839e-74,3.13506074575483,0.58,0.068,1.23898821084394e-69,"0","Cadps"
6.70470570092851e-74,3.40299868067817,0.45,0.04,1.68482549558633e-69,"0","Zbbx"
6.71390874032542e-74,2.38478889899578,0.97,0.23,1.68713812735637e-69,"0","Prnp"
1.16997381702853e-73,2.82485823102881,0.63,0.08,2.94002720481099e-69,"0","Soga3"
1.17446064043675e-73,3.47135221186229,0.42,0.034,2.95130214335351e-69,"0","D130043K22Rik"
1.24917420882312e-73,2.51237707227041,0.71,0.102,3.13904986935162e-69,"0","Mcf2l"
1.27613659502991e-73,3.56119035016477,0.44,0.039,3.20680364965067e-69,"0","1700001L19Rik"
1.74332224665626e-73,3.85069638399826,0.38,0.028,4.38079447362251e-69,"0","Gm13830"
2.03704148588838e-73,2.99798040029274,0.65,0.088,5.11888154988892e-69,"0","Magi2"
3.28793578115747e-73,2.77278765760803,0.81,0.149,8.26225382447061e-69,"0","Gpm6a"
3.61343379806866e-73,2.80182515568896,0.76,0.127,9.08019779116673e-69,"0","Pfn2"
1.81667174680269e-72,3.99842102299443,0.34,0.022,4.56511443254049e-68,"0","Gm45060"
1.81978522441799e-72,3.17996944391104,0.49,0.049,4.57293829043997e-68,"0","Hrk"
2.76060816868844e-72,2.63548043930792,0.86,0.168,6.93713226709718e-68,"0","Rap1gds1"
3.27417773988065e-72,3.48109982574014,0.47,0.046,8.22768124254609e-68,"0","Pacrg"
3.43178850380803e-72,2.8639474855458,0.75,0.127,8.62374133121919e-68,"0","Rnf128"
